ID,Created,Name,Description,Playlist URL
4f339d91dc6b41e38c61b2ef8d9e3298,2025-03-30T19:57:12Z,Ultra hype song,"This song makes you want to set a new PR in the gym, buy another round of shots, or chug coffee and finish your excel spreadsheet for work before midnight.",https://open.spotify.com/playlist/5eWR53fbK9xUeQzR7Q56Ky
c5bba75d3a904c828eea82a30f8bd6a0,2025-03-30T19:58:51Z,Song by an artist with <100k monthly Spotify listeners,"You're probably the only person in this league who's heard this song by a less-than-famous artist. As long as they have less than 100k monthly listeners, any song is fair game. 

*Note: This was previously <500k, but I changed it to make it harder.*",https://open.spotify.com/playlist/26p4sYb4bFoEkb6Caxu0FS
c5895b83359b434492ed7f482b12bab0,2025-03-30T20:05:25Z,Song most likely to be banned by republicans,"You need to find a song that Karoline Leavitt, MTG, and Marco Rubio do NOT want children to listen to",https://open.spotify.com/playlist/2r7fkQWb2vkmebUQGOuosl
ea6e89ffe84146f7b951986a12c1c11b,2025-03-30T20:09:33Z,Song with a rap feature in an otherwise non-rap song,"This is a surprise rap verse, a pleasant surprise, popping up in a song that doesn't otherwise have rap vibes. ",https://open.spotify.com/playlist/08ICvoLwMQmbC8NWkPXmsC
f3c87af50649408897d918edb52111b3,2025-03-30T20:10:52Z,Song less than 2 minutes in length,"This song is short and sweet. Must be LESS THAN 2 minutes long, not equal to or longer than 2 minutes. ",https://open.spotify.com/playlist/7ucFPK9IJrLLebZspYXDv1
e0cfde97256c4c488d8fde90587c5ed5,2025-03-30T20:11:34Z,Song that's not in English,No English allowed in this round. That's the only rule. ,https://open.spotify.com/playlist/05rLwMZmjglYECwICpLTFh
1700b7b6173449f29e82ea119fd0febe,2025-03-30T20:13:37Z,One-man band,"A song that’s performed entirely by a single person. It can be with no instruments (singing only) or several, it doesn't matter.",https://open.spotify.com/playlist/5PTVQGhiuNfqrYIRyLUqYo
1117f97da7ad4cc48b8f89f7f07c1ab0,2025-03-30T20:14:23Z,Best song by an artist who's under 18 years old (when released),"Age is just a number. As long as they're under 18 years old when the song comes out, anything goes. ",https://open.spotify.com/playlist/7hz3pRZVnxYQOC4REkYLuW
